	N1‒UNIF ρ	Chao92 ρ	Jack1 ρ	Chao2sig ρ	Distinct
song (Q7366)	7.2130652792340746e-06	1.0134509004791995e-05	0.4425714009206524	0.13097705936377163	50170.0
software (Q7397)	5.166500635610251e-05	5.8876174169512055e-05	0.41124939156016416	0.16331328507015422	10915.0
imperial examination (Q7408)	1.0	1.0	1.0	1.0	113.0
raion (Q7688)	0.0005685711344928962	0.005879483801708966	0.41028156041441516	0.21917753760549388	211.0
constitution (Q7755)	0.0011589842481409347	0.002844076554862111	0.5266521159724292	0.5446663305081642	563.0
video game (Q7889)	6.394712490316166e-06	1.4335202513049603e-05	0.26311971982251703	0.09273232925432713	32803.0
enzyme (Q8047)	1.1119974735912183e-05	1.1119974735912183e-05	0.9284588681425798	0.03584135005910223	4139.0
protein (Q8054)	4.277036124604511e-06	4.277036124604511e-06	0.74811935931116	0.1294549074853653	83077.0
natural disaster (Q8065)	0.011085050368366921	0.3839403621056574	0.49772203125918085	3.5879886356679256	22.0
volcano (Q8072)	0.00042835937268202447	0.0011321133955089927	0.2544859116103368	0.16999506342290122	1273.0
video game console (Q8076)	0.0014963430245453642	0.03573676589116848	0.29285333542563025	0.5528611691023155	144.0
currency (Q8142)	0.00023780142071643914	0.0010326077002557415	0.37440949671001866	0.2023621817173178	905.0
industry (Q8148)	0.001231733145182052	0.020263064235939755	0.13082590159363194	0.13158710230032963	86.0
novel (Q8261)	9.882264602094991e-05	0.000157948918158804	0.5005309985348805	0.21023888225279533	4630.0
manga (Q8274)	1.3569128755708654e-05	3.937017864485521e-05	0.6285193510154342	0.12191690585009157	11536.0
family (Q8436)	7.610540939479152e-05	0.00011278002839179842	0.5844224998077584	0.18359670375324666	4785.0
civil war (Q8465)	0.0011109115726657308	0.017077711930000135	0.34291430390432825	0.3849288418222768	146.0
mountain (Q8502)	1.9858960958282973e-06	1.9858960958282973e-06	0.4503453416515109	0.13586957415742276	444222.0
database (Q8513)	0.0006503387046173652	0.004273026677151741	0.48589695517669407	0.6051336669613856	591.0
desert (Q8514)	9.896317180655067e-05	0.0002921439614819942	0.8067519504186628	0.23522703496149644	2420.0
constellation (Q8928)	0.0	0.0	0.0	0.0	92.0
operating system (Q9135)	0.0002320610846279537	0.002202982088629718	0.28449786453032583	0.29767130881369575	1265.0
programming language (Q9143)	0.00011485179164135193	0.000907127900779982	0.3429946822190518	0.2001236446463951	1320.0
religion (Q9174)	0.0017909319354276264	0.03313245397888274	0.21880859902446864	0.5050585383860171	118.0
emotion (Q9415)	0.0015942373690649484	0.01847076665905832	0.23215770671127814	0.1574784318828346	72.0
ocean (Q9430)	0.0	0.0	0.1406754820117693	0.04741583655351067	7.0
gland (Q9647)	0.015601899505602718	0.13526373684400383	0.641375237416904	0.8599497191573731	12.0
artery (Q9655)	0.00113772413785006	0.00113772413785006	0.14365222502427377	0.04669675753385272	385.0
alphabet (Q9779)	0.0022933842449721353	0.040426063109930785	0.2718981675747271	0.45253964880171715	94.0
high school (Q9826)	0.00019205193974594105	0.00019205193974594105	0.06293145953421798	0.022692566932229707	25013.0
primary school (Q9842)	3.143731156399137e-05	3.143731156399137e-05	0.6053701504068967	0.2646121311607006	23480.0
milestone (Q10145)	6.969561291615571e-05	6.969561291615571e-05	0.6915473917793632	0.2722503191029885	4617.0
autonomous community of Spain (Q10742)	0.0	0.0	0.0	0.0	17.0
newspaper (Q11032)	3.946970536632178e-05	6.042149080720435e-05	0.48997288321227184	0.18684662119755774	15356.0
chemical compound (Q11173)	1.4027404279564547e-05	2.9094043176565397e-05	0.5761666973436574	0.16423726016386989	25138.0
skyscraper (Q11303)	9.59538199786111e-05	0.0001749700183254064	0.30525295261488194	0.14823891564778158	4222.0
shopping mall (Q11315)	0.0002105819662014932	0.0002105819662014932	0.3795823613504494	0.24758414186486072	4979.0
chemical element (Q11344)	0.0	0.0	0.0	0.0	156.0
district of Iran (Q11353)	0.0005127568865473386	0.0005127568865473386	0.1826816516635853	0.06274726638628442	1024.0
film (Q11424)	1.731428837231233e-06	4.7544060429310445e-06	0.08956225640434755	0.041977995042432346	213322.0
ship (Q11446)	2.169634328109512e-05	2.169634328109512e-05	0.4195128133080077	0.16774554164732206	23311.0
magic number (Q11606)	0.0	0.0	0.0	0.0	7.0
stock exchange (Q11691)	0.0006240677131188339	0.009943914908909368	0.2809881396329521	0.2672213948547664	195.0
restaurant (Q11707)	0.0005076317963816127	0.0005076317963816127	0.21886736421422281	0.1066860741853522	2384.0
disability (Q12131)	0.0	0.0	0.0	0.0	1.0
disease (Q12136)	6.681493170366371e-05	0.00039180683662292694	0.20730939548331376	0.21247478671659292	10265.0
drug (Q12140)	0.00023727762173062072	0.0007537395830127378	0.18339491041885084	0.16527668113516475	2281.0
time zone (Q12143)	0.0008530976410056148	0.01175858552202923	0.04280925897773723	0.04749480514993135	69.0
bridge (Q12280)	2.7703155560039373e-05	3.4110569200567746e-05	0.3018791480749473	0.1443548910660044	19784.0
canal (Q12284)	5.42278463621378e-05	5.42278463621378e-05	0.5005820742655096	0.21409617830856026	24304.0
dam (Q12323)	3.745838705997231e-05	3.745838705997231e-05	0.3756190973654858	0.1501621050386328	30766.0
tower (Q12518)	0.00020690483843274356	0.00025553153163803907	0.22870511299307836	0.12904234783522056	3430.0
suspension bridge (Q12570)	0.0011528148527635029	0.0027998639424837574	0.0738543212380543	0.030730877975089266	380.0
reference work (Q13136)	0.0018553524535209606	0.007226683454870395	0.5109782861292532	0.5139999164583212	249.0
radio station (Q14350)	4.590729962415626e-05	4.590729962415626e-05	0.412638201424671	0.18705929253014103	24496.0
coat of arms (Q14659)	9.475683621263956e-05	9.475683621263956e-05	0.5620610459811275	0.33928442905902356	8918.0
flag (Q14660)	1.963877336763764e-05	1.963877336763764e-05	0.2848845063116686	0.1210209310683294	6540.0
furniture (Q14745)	0.0016114651651703913	0.0016114651651703913	0.531662939879883	0.5270839621482852	525.0
